schema,kmph,Mode of transportation,Climate,Terrain,Vegetation,River,Infrastructure
kmph-v1,1.5,horse,desert,mountains,vegetation,none,none
kmph-v1,1.4,horse,desert,mountains,vegetation,river,none
kmph-v1,-1,horse,desert,water,none,none,none
kmph-v1,-1,horse,desert,water,none,*,Road
kmph-v1,-1,horse,desert,water,none,*,Footpath
kmph-v1,-1,horse,desert,coastal water,none,none,none
kmph-v1,-1,horse,desert,coastal water,none,*,Road
kmph-v1,-1,horse,desert,coastal water,none,*,Footpath
kmph-v1,-1,horse,desert,ocean,none,none,none
kmph-v1,-1,horse,desert,ocean,none,*,Road
kmph-v1,-1,horse,desert,ocean,none,*,Footpath
kmph-v1,1.8,horse,desert,wetlands,none,none,none
kmph-v1,1.7,horse,desert,wetlands,none,river,none
kmph-v1,1.4,horse,desert,wetlands,vegetation,none,none
kmph-v1,1.3,horse,desert,wetlands,vegetation,river,none
kmph-v1,4.2,horse,cold,flat,none,none,none
kmph-v1,4.0,horse,cold,flat,none,river,none
kmph-v1,3.2,horse,cold,flat,vegetation,none,none
kmph-v1,3.1,horse,cold,flat,vegetation,river,none
kmph-v1,3.5,horse,cold,hills,none,none,none
kmph-v1,4.4,horse,cold,hills,none,*,Footpath
kmph-v1,3.3,horse,cold,hills,none,river,none
kmph-v1,2.7,horse,cold,hills,vegetation,none,none
kmph-v1,3.4,horse,cold,hills,vegetation,*,Footpath
kmph-v1,2.6,horse,cold,hills,vegetation,river,none
kmph-v1,2.1,horse,cold,mountains,none,none,none
kmph-v1,2.0,horse,cold,mountains,none,river,none
kmph-v1,1.6,horse,cold,mountains,vegetation,none,none
kmph-v1,1.5,horse,cold,mountains,vegetation,river,none
kmph-v1,-1,horse,cold,water,none,none,none
kmph-v1,-1,horse,cold,water,none,*,Road
kmph-v1,-1,horse,cold,water,none,*,Footpath
kmph-v1,-1,horse,cold,coastal water,none,none,none
kmph-v1,-1,horse,cold,coastal water,none,*,Road
kmph-v1,-1,horse,cold,coastal water,none,*,Footpath
kmph-v1,-1,horse,cold,ocean,none,none,none
kmph-v1,-1,horse,cold,ocean,none,*,Road
kmph-v1,-1,horse,cold,ocean,none,*,Footpath
kmph-v1,1.9,horse,cold,wetlands,none,none,none
kmph-v1,1.8,horse,cold,wetlands,none,river,none
kmph-v1,1.5,horse,cold,wetlands,vegetation,none,none
kmph-v1,1.4,horse,cold,wetlands,vegetation,river,none
kmph-v1,3.7,horse,freezing,flat,none,none,none
kmph-v1,3.5,horse,freezing,flat,none,river,none
kmph-v1,2.9,horse,freezing,flat,vegetation,none,none
kmph-v1,2.7,horse,freezing,flat,vegetation,river,none
kmph-v1,3.1,horse,freezing,hills,none,none,none
kmph-v1,3.9,horse,freezing,hills,none,*,Footpath
kmph-v1,2.9,horse,freezing,hills,none,river,none
kmph-v1,2.4,horse,freezing,hills,vegetation,none,none
kmph-v1,3.0,horse,freezing,hills,vegetation,*,Footpath
kmph-v1,2.3,horse,freezing,hills,vegetation,river,none
kmph-v1,1.9,horse,freezing,mountains,none,none,none
kmph-v1,1.8,horse,freezing,mountains,none,river,none
kmph-v1,1.4,horse,freezing,mountains,vegetation,none,none
kmph-v1,1.4,horse,freezing,mountains,vegetation,river,none
kmph-v1,-1,horse,freezing,water,none,none,none
kmph-v1,-1,horse,freezing,water,none,*,Road
kmph-v1,-1,horse,freezing,water,none,*,Footpath
kmph-v1,-1,horse,freezing,coastal water,none,none,none
kmph-v1,-1,horse,freezing,coastal water,none,*,Road
kmph-v1,-1,horse,freezing,coastal water,none,*,Footpath
kmph-v1,-1,horse,freezing,ocean,none,none,none
kmph-v1,-1,horse,freezing,ocean,none,*,Road
kmph-v1,-1,horse,freezing,ocean,none,*,Footpath
kmph-v1,1.7,horse,freezing,wetlands,none,none,none
kmph-v1,1.6,horse,freezing,wetlands,none,river,none
kmph-v1,1.3,horse,freezing,wetlands,vegetation,none,none
kmph-v1,1.2,horse,freezing,wetlands,vegetation,river,none
kmph-v1,3.3,foot,temperate,flat,none,none,none
kmph-v1,5.0,foot,*,flat,*,*,Road
kmph-v1,4.1,foot,*,flat,*,*,Footpath
kmph-v1,3.1,foot,temperate,flat,none,river,none
kmph-v1,2.5,foot,temperate,flat,vegetation,none,none
kmph-v1,2.4,foot,temperate,flat,vegetation,river,none
kmph-v1,2.8,foot,temperate,hills,none,none,none
kmph-v1,4.2,foot,*,hills,*,*,Road
kmph-v1,3.4,foot,temperate,hills,none,*,Footpath
kmph-v1,2.6,foot,temperate,hills,none,river,none
kmph-v1,2.1,foot,temperate,hills,vegetation,none,none
kmph-v1,2.6,foot,temperate,hills,vegetation,*,Footpath
kmph-v1,2.0,foot,temperate,hills,vegetation,river,none
kmph-v1,1.6,foot,temperate,mountains,none,none,none
kmph-v1,2.5,foot,*,mountains,*,*,Road
kmph-v1,2.1,foot,*,mountains,*,*,Footpath
kmph-v1,1.6,foot,temperate,mountains,none,river,none
kmph-v1,1.3,foot,temperate,mountains,vegetation,none,none
kmph-v1,1.2,foot,temperate,mountains,vegetation,river,none
kmph-v1,-1,foot,temperate,water,none,none,none
kmph-v1,-1,foot,temperate,water,none,*,Road
kmph-v1,-1,foot,temperate,water,none,*,Footpath
kmph-v1,-1,foot,temperate,coastal water,none,none,none
kmph-v1,-1,foot,temperate,coastal water,none,*,Road
kmph-v1,-1,foot,temperate,coastal water,none,*,Footpath
kmph-v1,-1,foot,temperate,ocean,none,none,none
kmph-v1,-1,foot,temperate,ocean,none,*,Road
kmph-v1,-1,foot,temperate,ocean,none,*,Footpath
kmph-v1,1.5,foot,temperate,wetlands,none,none,none
kmph-v1,2.3,foot,*,wetlands,*,*,Road
kmph-v1,1.9,foot,*,wetlands,*,*,Footpath
kmph-v1,1.4,foot,temperate,wetlands,none,river,none
kmph-v1,1.2,foot,temperate,wetlands,vegetation,none,none
kmph-v1,1.1,foot,temperate,wetlands,vegetation,river,none
kmph-v1,3.1,foot,tropical,flat,none,none,none
kmph-v1,3.0,foot,tropical,flat,none,river,none
kmph-v1,2.4,foot,tropical,flat,vegetation,none,none
kmph-v1,2.3,foot,tropical,flat,vegetation,river,none
kmph-v1,2.6,foot,tropical,hills,none,none,none
kmph-v1,3.3,foot,tropical,hills,none,*,Footpath
kmph-v1,2.5,foot,tropical,hills,none,river,none
kmph-v1,2.0,foot,tropical,hills,vegetation,none,none
kmph-v1,2.5,foot,tropical,hills,vegetation,*,Footpath
kmph-v1,1.9,foot,tropical,hills,vegetation,river,none
kmph-v1,1.6,foot,tropical,mountains,none,none,none
kmph-v1,1.5,foot,tropical,mountains,none,river,none
kmph-v1,1.2,foot,tropical,mountains,vegetation,none,none
kmph-v1,1.2,foot,tropical,mountains,vegetation,river,none
kmph-v1,-1,foot,tropical,water,none,none,none
kmph-v1,-1,foot,tropical,water,none,*,Road
kmph-v1,-1,foot,tropical,water,none,*,Footpath
kmph-v1,-1,foot,tropical,coastal water,none,none,none
kmph-v1,-1,foot,tropical,coastal water,none,*,Road
kmph-v1,-1,foot,tropical,coastal water,none,*,Footpath
kmph-v1,-1,foot,tropical,ocean,none,none,none
kmph-v1,-1,foot,tropical,ocean,none,*,Road
kmph-v1,-1,foot,tropical,ocean,none,*,Footpath
kmph-v1,1.4,foot,tropical,wetlands,none,none,none
kmph-v1,1.4,foot,tropical,wetlands,none,river,none
kmph-v1,1.1,foot,tropical,wetlands,vegetation,none,none
kmph-v1,1.0,foot,tropical,wetlands,vegetation,river,none
kmph-v1,3.2,foot,subtropical,flat,none,none,none
kmph-v1,3.1,foot,subtropical,flat,none,river,none
kmph-v1,2.5,foot,subtropical,flat,vegetation,none,none
kmph-v1,2.3,foot,subtropical,flat,vegetation,river,none
kmph-v1,2.7,foot,subtropical,hills,none,none,none
kmph-v1,3.3,foot,subtropical,hills,none,*,Footpath
kmph-v1,2.5,foot,subtropical,hills,none,river,none
kmph-v1,2.1,foot,subtropical,hills,vegetation,none,none
kmph-v1,2.6,foot,subtropical,hills,vegetation,*,Footpath
kmph-v1,2.0,foot,subtropical,hills,vegetation,river,none
kmph-v1,1.6,foot,subtropical,mountains,none,none,none
kmph-v1,1.5,foot,subtropical,mountains,none,river,none
kmph-v1,1.2,foot,subtropical,mountains,vegetation,none,none
kmph-v1,1.2,foot,subtropical,mountains,vegetation,river,none
kmph-v1,-1,foot,subtropical,water,none,none,none
kmph-v1,-1,foot,subtropical,water,none,*,Road
kmph-v1,-1,foot,subtropical,water,none,*,Footpath
kmph-v1,-1,foot,subtropical,coastal water,none,none,none
kmph-v1,-1,foot,subtropical,coastal water,none,*,Road
kmph-v1,-1,foot,subtropical,coastal water,none,*,Footpath
kmph-v1,-1,foot,subtropical,ocean,none,none,none
kmph-v1,-1,foot,subtropical,ocean,none,*,Road
kmph-v1,-1,foot,subtropical,ocean,none,*,Footpath
kmph-v1,1.5,foot,subtropical,wetlands,none,none,none
kmph-v1,1.4,foot,subtropical,wetlands,none,river,none
kmph-v1,1.1,foot,subtropical,wetlands,vegetation,none,none
kmph-v1,1.1,foot,subtropical,wetlands,vegetation,river,none
kmph-v1,2.8,foot,desert,flat,none,none,none
kmph-v1,2.6,foot,desert,flat,none,river,none
kmph-v1,2.1,foot,desert,flat,vegetation,none,none
kmph-v1,2.0,foot,desert,flat,vegetation,river,none
kmph-v1,2.3,foot,desert,hills,none,none,none
kmph-v1,2.9,foot,desert,hills,none,*,Footpath
kmph-v1,2.2,foot,desert,hills,none,river,none
kmph-v1,1.8,foot,desert,hills,vegetation,none,none
kmph-v1,2.2,foot,desert,hills,vegetation,*,Footpath
kmph-v1,1.7,foot,desert,hills,vegetation,river,none
kmph-v1,1.4,foot,desert,mountains,none,none,none
kmph-v1,1.3,foot,desert,mountains,none,river,none
kmph-v1,1.1,foot,desert,mountains,vegetation,none,none
kmph-v1,1.0,foot,desert,mountains,vegetation,river,none
kmph-v1,-1,foot,desert,water,none,none,none
kmph-v1,-1,foot,desert,water,none,*,Road
kmph-v1,-1,foot,desert,water,none,*,Footpath
kmph-v1,-1,foot,desert,coastal water,none,none,none
kmph-v1,-1,foot,desert,coastal water,none,*,Road
kmph-v1,-1,foot,desert,coastal water,none,*,Footpath
kmph-v1,-1,foot,desert,ocean,none,none,none
kmph-v1,-1,foot,desert,ocean,none,*,Road
kmph-v1,-1,foot,desert,ocean,none,*,Footpath
kmph-v1,1.2,foot,desert,wetlands,none,none,none
kmph-v1,1.2,foot,desert,wetlands,none,river,none
kmph-v1,1.0,foot,desert,wetlands,vegetation,none,none
kmph-v1,0.9,foot,desert,wetlands,vegetation,river,none
kmph-v1,3.0,foot,cold,flat,none,none,none
kmph-v1,2.9,foot,cold,flat,none,river,none
kmph-v1,2.3,foot,cold,flat,vegetation,none,none
kmph-v1,2.2,foot,cold,flat,vegetation,river,none
kmph-v1,2.5,foot,cold,hills,none,none,none
kmph-v1,3.1,foot,cold,hills,none,*,Footpath
kmph-v1,2.4,foot,cold,hills,none,river,none
kmph-v1,1.9,foot,cold,hills,vegetation,none,none
kmph-v1,2.4,foot,cold,hills,vegetation,*,Footpath
kmph-v1,1.8,foot,cold,hills,vegetation,river,none
kmph-v1,1.5,foot,cold,mountains,none,none,none
kmph-v1,1.4,foot,cold,mountains,none,river,none
kmph-v1,1.2,foot,cold,mountains,vegetation,none,none
kmph-v1,1.1,foot,cold,mountains,vegetation,river,none
kmph-v1,-1,foot,cold,water,none,none,none
kmph-v1,-1,foot,cold,water,none,*,Road
kmph-v1,-1,foot,cold,water,none,*,Footpath
kmph-v1,-1,foot,cold,coastal water,none,none,none
kmph-v1,-1,foot,cold,coastal water,none,*,Road
kmph-v1,-1,foot,cold,coastal water,none,*,Footpath
kmph-v1,-1,foot,cold,ocean,none,none,none
kmph-v1,-1,foot,cold,ocean,none,*,Road
kmph-v1,-1,foot,cold,ocean,none,*,Footpath
kmph-v1,1.4,foot,cold,wetlands,none,none,none
kmph-v1,1.3,foot,cold,wetlands,none,river,none
kmph-v1,1.0,foot,cold,wetlands,vegetation,none,none
kmph-v1,1.0,foot,cold,wetlands,vegetation,river,none
kmph-v1,2.6,foot,freezing,flat,none,none,none
kmph-v1,2.5,foot,freezing,flat,none,river,none
kmph-v1,2.0,foot,freezing,flat,vegetation,none,none
kmph-v1,1.9,foot,freezing,flat,vegetation,river,none
kmph-v1,2.2,foot,freezing,hills,none,none,none
kmph-v1,2.8,foot,freezing,hills,none,*,Footpath
kmph-v1,2.1,foot,freezing,hills,none,river,none
kmph-v1,1.7,foot,freezing,hills,vegetation,none,none
kmph-v1,2.1,foot,freezing,hills,vegetation,*,Footpath
kmph-v1,1.6,foot,freezing,hills,vegetation,river,none
kmph-v1,1.3,foot,freezing,mountains,none,none,none
kmph-v1,1.3,foot,freezing,mountains,none,river,none
kmph-v1,1.0,foot,freezing,mountains,vegetation,none,none
kmph-v1,1.0,foot,freezing,mountains,vegetation,river,none
kmph-v1,-1,foot,freezing,water,none,none,none
kmph-v1,-1,foot,freezing,water,none,*,Road
kmph-v1,-1,foot,freezing,water,none,*,Footpath
kmph-v1,-1,foot,freezing,coastal water,none,none,none
kmph-v1,-1,foot,freezing,coastal water,none,*,Road
kmph-v1,-1,foot,freezing,coastal water,none,*,Footpath
kmph-v1,-1,foot,freezing,ocean,none,none,none
kmph-v1,-1,foot,freezing,ocean,none,*,Road
kmph-v1,-1,foot,freezing,ocean,none,*,Footpath
kmph-v1,1.2,foot,freezing,wetlands,none,none,none
kmph-v1,1.1,foot,freezing,wetlands,none,river,none
kmph-v1,0.9,foot,freezing,wetlands,vegetation,none,none
kmph-v1,0.9,foot,freezing,wetlands,vegetation,river,none
kmph-v1,-1,river boat,*,flat,*,none,*
kmph-v1,4.0,river boat,*,flat,*,river,*
kmph-v1,-1,river boat,*,hills,*,none,*
kmph-v1,-1,river boat,*,hills,*,*,*
kmph-v1,2.8,river boat,*,hills,*,river,*
kmph-v1,-1,river boat,*,mountains,*,none,*
kmph-v1,-1,river boat,*,mountains,*,*,*
kmph-v1,-1,river boat,*,mountains,*,river,*
kmph-v1,6.5,river boat,*,water,*,none,*
kmph-v1,7.4,river boat,*,coastal water,*,none,*
kmph-v1,-1,river boat,*,ocean,*,none,*
kmph-v1,-1,river boat,*,wetlands,*,none,*
kmph-v1,-1,river boat,*,wetlands,*,*,*
kmph-v1,1.6,river boat,*,wetlands,*,river,*
kmph-v1,-1,ship,*,flat,*,none,*
kmph-v1,-1,ship,*,flat,*,*,*
kmph-v1,-1,ship,*,flat,*,river,*
kmph-v1,-1,ship,*,hills,*,none,*
kmph-v1,-1,ship,*,hills,*,*,*
kmph-v1,-1,ship,*,hills,*,river,*
kmph-v1,-1,ship,*,mountains,*,none,*
kmph-v1,-1,ship,*,mountains,*,*,*
kmph-v1,-1,ship,*,mountains,*,river,*
kmph-v1,6.6,ship,*,water,*,none,*
kmph-v1,8.1,ship,*,coastal water,*,none,*
kmph-v1,9.0,ship,*,ocean,*,none,*
kmph-v1,-1,ship,*,wetlands,*,none,*
kmph-v1,-1,ship,*,wetlands,*,*,*
kmph-v1,-1,ship,*,wetlands,*,river,*
kmph-v1,2.6,caravan,temperate,flat,none,none,none
kmph-v1,4.0,caravan,*,flat,*,*,Road
kmph-v1,3.3,caravan,temperate,flat,none,*,Footpath
kmph-v1,2.5,caravan,temperate,flat,none,river,none
kmph-v1,2.0,caravan,temperate,flat,vegetation,none,none
kmph-v1,2.5,caravan,temperate,flat,vegetation,*,Footpath
kmph-v1,1.9,caravan,temperate,flat,vegetation,river,none
kmph-v1,2.2,caravan,temperate,hills,none,none,none
kmph-v1,3.3,caravan,*,hills,*,*,Road
kmph-v1,2.7,caravan,temperate,hills,none,*,Footpath
kmph-v1,2.1,caravan,temperate,hills,none,river,none
kmph-v1,1.7,caravan,temperate,hills,vegetation,none,none
kmph-v1,2.1,caravan,temperate,hills,vegetation,*,Footpath
kmph-v1,1.6,caravan,temperate,hills,vegetation,river,none
kmph-v1,1.3,caravan,temperate,mountains,none,none,none
kmph-v1,2.0,caravan,*,mountains,*,*,Road
kmph-v1,1.7,caravan,temperate,mountains,none,*,Footpath
kmph-v1,1.3,caravan,temperate,mountains,none,river,none
kmph-v1,1.0,caravan,temperate,mountains,vegetation,none,none
kmph-v1,1.3,caravan,temperate,mountains,vegetation,*,Footpath
kmph-v1,1.0,caravan,temperate,mountains,vegetation,river,none
kmph-v1,-1,caravan,temperate,water,none,none,none
kmph-v1,-1,caravan,temperate,water,none,*,Road
kmph-v1,-1,caravan,temperate,water,none,*,Footpath
kmph-v1,-1,caravan,*,coastal water,*,none,none
kmph-v1,-1,caravan,temperate,coastal water,none,*,Road
kmph-v1,-1,caravan,temperate,coastal water,none,*,Footpath
kmph-v1,-1,caravan,*,ocean,*,none,none
kmph-v1,-1,caravan,temperate,ocean,none,*,Road
kmph-v1,-1,caravan,temperate,ocean,none,*,Footpath
kmph-v1,1.2,caravan,temperate,wetlands,none,none,none
kmph-v1,1.8,caravan,*,wetlands,*,*,Road
kmph-v1,1.5,caravan,temperate,wetlands,none,*,Footpath
kmph-v1,1.1,caravan,temperate,wetlands,none,river,none
kmph-v1,0.9,caravan,temperate,wetlands,vegetation,none,none
kmph-v1,1.2,caravan,temperate,wetlands,vegetation,*,Footpath
kmph-v1,0.9,caravan,temperate,wetlands,vegetation,river,none
kmph-v1,2.5,caravan,tropical,flat,none,none,none
kmph-v1,3.1,caravan,tropical,flat,none,*,Footpath
kmph-v1,2.4,caravan,tropical,flat,none,river,none
kmph-v1,1.9,caravan,tropical,flat,vegetation,none,none
kmph-v1,2.4,caravan,tropical,flat,vegetation,*,Footpath
kmph-v1,1.8,caravan,tropical,flat,vegetation,river,none
kmph-v1,2.1,caravan,tropical,hills,none,none,none
kmph-v1,2.6,caravan,tropical,hills,none,*,Footpath
kmph-v1,2.0,caravan,tropical,hills,none,river,none
kmph-v1,1.6,caravan,tropical,hills,vegetation,none,none
kmph-v1,2.0,caravan,tropical,hills,vegetation,*,Footpath
kmph-v1,1.5,caravan,tropical,hills,vegetation,river,none
kmph-v1,1.3,caravan,tropical,mountains,none,none,none
kmph-v1,1.6,caravan,tropical,mountains,none,*,Footpath
kmph-v1,1.2,caravan,tropical,mountains,none,river,none
kmph-v1,1.0,caravan,tropical,mountains,vegetation,none,none
kmph-v1,1.2,caravan,tropical,mountains,vegetation,*,Footpath
kmph-v1,0.9,caravan,tropical,mountains,vegetation,river,none
kmph-v1,-1,caravan,tropical,water,none,none,none
kmph-v1,-1,caravan,tropical,water,none,*,Road
kmph-v1,-1,caravan,tropical,water,none,*,Footpath
kmph-v1,-1,caravan,tropical,coastal water,none,*,Road
kmph-v1,-1,caravan,tropical,coastal water,none,*,Footpath
kmph-v1,-1,caravan,tropical,ocean,none,*,Road
kmph-v1,-1,caravan,tropical,ocean,none,*,Footpath
kmph-v1,1.1,caravan,tropical,wetlands,none,none,none
kmph-v1,1.4,caravan,tropical,wetlands,none,*,Footpath
kmph-v1,1.1,caravan,tropical,wetlands,none,river,none
kmph-v1,0.9,caravan,tropical,wetlands,vegetation,none,none
kmph-v1,1.1,caravan,tropical,wetlands,vegetation,*,Footpath
kmph-v1,0.8,caravan,tropical,wetlands,vegetation,river,none
kmph-v1,2.6,caravan,subtropical,flat,none,none,none
kmph-v1,3.2,caravan,subtropical,flat,none,*,Footpath
kmph-v1,2.4,caravan,subtropical,flat,none,river,none
kmph-v1,2.0,caravan,subtropical,flat,vegetation,none,none
kmph-v1,2.5,caravan,subtropical,flat,vegetation,*,Footpath
kmph-v1,1.9,caravan,subtropical,flat,vegetation,river,none
kmph-v1,2.1,caravan,subtropical,hills,none,none,none
kmph-v1,2.7,caravan,subtropical,hills,none,*,Footpath
kmph-v1,2.0,caravan,subtropical,hills,none,river,none
kmph-v1,1.6,caravan,subtropical,hills,vegetation,none,none
kmph-v1,2.1,caravan,subtropical,hills,vegetation,*,Footpath
kmph-v1,1.6,caravan,subtropical,hills,vegetation,river,none
kmph-v1,1.3,caravan,subtropical,mountains,none,none,none
kmph-v1,1.6,caravan,subtropical,mountains,none,*,Footpath
kmph-v1,1.2,caravan,subtropical,mountains,none,river,none
kmph-v1,1.0,caravan,subtropical,mountains,vegetation,none,none
kmph-v1,1.2,caravan,subtropical,mountains,vegetation,*,Footpath
kmph-v1,0.9,caravan,subtropical,mountains,vegetation,river,none
kmph-v1,-1,caravan,subtropical,water,none,none,none
kmph-v1,-1,caravan,subtropical,water,none,*,Road
kmph-v1,-1,caravan,subtropical,water,none,*,Footpath
kmph-v1,-1,caravan,subtropical,coastal water,none,*,Road
kmph-v1,-1,caravan,subtropical,coastal water,none,*,Footpath
kmph-v1,-1,caravan,subtropical,ocean,none,*,Road
kmph-v1,-1,caravan,subtropical,ocean,none,*,Footpath
kmph-v1,1.2,caravan,subtropical,wetlands,none,none,none
kmph-v1,1.5,caravan,subtropical,wetlands,none,*,Footpath
kmph-v1,1.1,caravan,subtropical,wetlands,none,river,none
kmph-v1,0.9,caravan,subtropical,wetlands,vegetation,none,none
kmph-v1,1.1,caravan,subtropical,wetlands,vegetation,*,Footpath
kmph-v1,0.9,caravan,subtropical,wetlands,vegetation,river,none
kmph-v1,2.2,caravan,desert,flat,none,none,none
kmph-v1,2.7,caravan,desert,flat,none,*,Footpath
kmph-v1,2.1,caravan,desert,flat,none,river,none
kmph-v1,1.7,caravan,desert,flat,vegetation,none,none
kmph-v1,2.1,caravan,desert,flat,vegetation,*,Footpath
kmph-v1,1.6,caravan,desert,flat,vegetation,river,none
kmph-v1,1.8,caravan,desert,hills,none,none,none
kmph-v1,2.3,caravan,desert,hills,none,*,Footpath
kmph-v1,1.7,caravan,desert,hills,none,river,none
kmph-v1,1.4,caravan,desert,hills,vegetation,none,none
kmph-v1,1.8,caravan,desert,hills,vegetation,*,Footpath
kmph-v1,1.3,caravan,desert,hills,vegetation,river,none
kmph-v1,1.1,caravan,desert,mountains,none,none,none
